codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
52242;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;05/01/2012;20:27:00;0
45331;ACIDENTE;GUARULHOS;SP;BRASIL;SBGR;06/01/2012;13:44:00;3
45333;ACIDENTE;VIAMÃO;RS;BRASIL;;06/01/2012;13:00:00;0
45401;ACIDENTE;SÃO SEBASTIÃO;SP;BRASIL;;06/01/2012;17:00:00;0
45407;ACIDENTE;SÃO SEPÉ;RS;BRASIL;;06/01/2012;16:30:00;0
52243;INCIDENTE;UBATUBA;SP;BRASIL;;06/01/2012;14:30:00;0
50713;INCIDENTE GRAVE;CAMPINAS;SP;BRASIL;SDAI;07/01/2012;18:15:00;0
45334;INCIDENTE;BELÉM;PA;BRASIL;SBBE;08/01/2012;19:12:00;0
45391;ACIDENTE;CONCEIÇÃO DAS ALAGOAS;MG;BRASIL;;08/01/2012;16:00:00;0
52244;INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;08/01/2012;22:13:00;0
45332;ACIDENTE;VIAMÃO;RS;BRASIL;;09/01/2012;13:30:00;0
52245;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;09/01/2012;13:36:00;0
45396;INCIDENTE GRAVE;MARABÁ;PA;BRASIL;SBMA;11/01/2012;11:21:00;0
45408;ACIDENTE;ELDORADO;SP;BRASIL;;11/01/2012;13:45:00;1
45447;INCIDENTE;RIO BRANCO;AC;BRASIL;;13/01/2012;18:15:00;0
45409;ACIDENTE;CÁCERES;MT;BRASIL;;14/01/2012;10:00:00;0
45693;INCIDENTE;MACAÉ;RJ;BRASIL;;14/01/2012;10:30:00;0
52246;INCIDENTE;BRASÍLIA;DF;BRASIL;SBBR;16/01/2012;16:47:00;0
50714;INCIDENTE GRAVE;CAMOCIM;CE;BRASIL;SNWC;17/01/2012;18:25:00;0
45399;INCIDENTE GRAVE;MUANÁ;PA;BRASIL;;18/01/2012;17:35:00;0
52247;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBPR;18/01/2012;13:10:00;0
45392;ACIDENTE;BRASÍLIA;DF;BRASIL;;19/01/2012;21:30:00;2
45390;ACIDENTE;CACHOEIRA DOURADA;GO;BRASIL;;20/01/2012;21:00:00;0
45405;INCIDENTE;CUIABÁ;MT;BRASIL;;20/01/2012;08:00:00;0
45582;INCIDENTE GRAVE;RONDONÓPOLIS;MT;BRASIL;SWRD;20/01/2012;17:00:00;0
45400;INCIDENTE GRAVE;BRASÍLIA;DF;BRASIL;SBBR;21/01/2012;14:50:00;4
45410;ACIDENTE;BRAGANÇA PAULISTA;SP;BRASIL;SDVH;21/01/2012;23:30:00;0
52241;INCIDENTE GRAVE;UBERLÂNDIA;MG;BRASIL;SBUL;21/01/2012;20:45:00;0
52248;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;21/01/2012;11:15:00;0
45393;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;22/01/2012;20:25:00;0
45397;INCIDENTE GRAVE;RIO DE JANEIRO;RJ;BRASIL;;22/01/2012;19:05:00;2
52051;INCIDENTE;RECIFE;PE;BRASIL;SBRF;22/01/2012;23:00:00;0
45412;ACIDENTE;TASSO FRAGOSO;MA;BRASIL;;23/01/2012;09:33:00;2
45413;ACIDENTE;ITAPURANGA;GO;BRASIL;;25/01/2012;22:00:00;0
52053;INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;25/01/2012;13:36:00;0
52054;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;25/01/2012;23:00:00;0
52055;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;;25/01/2012;09:30:00;0
45802;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;26/01/2012;17:00:00;0
45667;INCIDENTE;JOINVILLE;SC;BRASIL;SBJV;27/01/2012;14:45:00;0
45579;ACIDENTE;CAMPOS LINDOS;TO;BRASIL;;28/01/2012;18:35:00;0
45415;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;;30/01/2012;13:55:00;0
45719;INCIDENTE;PELOTAS;RS;BRASIL;;30/01/2012;21:30:00;0
45414;ACIDENTE;NOVA BRASILÂNDIA;MT;BRASIL;;31/01/2012;18:00:00;0
45417;ACIDENTE;VÁRZEA GRANDE;MT;BRASIL;;31/01/2012;14:15:00;0
45668;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;;01/02/2012;12:30:00;0
45682;INCIDENTE;MACAÉ;RJ;BRASIL;;01/02/2012;13:50:00;0
45525;ACIDENTE;CAMPO FLORIDO;MG;BRASIL;;02/02/2012;21:30:00;2
45705;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;BRASIL;SBCT;02/02/2012;22:35:00;0
45658;INCIDENTE;CAMPO GRANDE;MS;BRASIL;SBCG;03/02/2012;23:33:00;0
45703;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;03/02/2012;02:04:00;0
45701;INCIDENTE;BELÉM;PA;BRASIL;SBBE;04/02/2012;14:55:00;0
45587;ACIDENTE;CORRENTINA;BA;BRASIL;;05/02/2012;20:27:00;0
52056;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;05/02/2012;17:34:00;0
45469;INCIDENTE;PIRACICABA;SP;BRASIL;SDPW;06/02/2012;20:45:00;0
45572;ACIDENTE;PALESTINA;SP;BRASIL;;06/02/2012;19:30:00;0
45669;INCIDENTE;ITANHAÉM;SP;BRASIL;;06/02/2012;14:00:00;0
45699;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;06/02/2012;18:44:00;0
45700;INCIDENTE;CUIABÁ;MT;BRASIL;;06/02/2012;20:00:00;0
45524;ACIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;07/02/2012;16:10:00;0
45580;INCIDENTE GRAVE;MACAÉ;RJ;BRASIL;;07/02/2012;14:50:00;4
45588;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;;07/02/2012;20:56:00;4
45656;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;07/02/2012;20:50:00;0
46900;ACIDENTE;QUELUZITO;MG;BRASIL;;07/02/2012;19:45:00;0
45528;ACIDENTE;BELÉM;PA;BRASIL;;08/02/2012;01:44:00;3
45564;ACIDENTE;SONORA;MS;BRASIL;;08/02/2012;09:50:00;0
45585;ACIDENTE;BELA VISTA DO PARAÍSO;PR;BRASIL;;08/02/2012;21:35:00;0
45678;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBPR;10/02/2012;22:05:00;0
45718;INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;10/02/2012;04:00:00;0
45466;ACIDENTE;CAMPINAS;SP;BRASIL;SDAM;12/02/2012;19:25:00;0
45470;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;12/02/2012;02:20:00;0
45586;ACIDENTE;ARROIO GRANDE;RS;BRASIL;;15/02/2012;13:00:00;0
52471;INCIDENTE GRAVE;CAIRU;BA;BRASIL;SNCL;15/02/2012;13:20:00;0
45487;ACIDENTE;CAMETÁ;PA;BRASIL;;16/02/2012;12:30:00;3
45684;INCIDENTE;PERUÍBE;SP;BRASIL;;17/02/2012;14:45:00;0
45689;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;;17/02/2012;23:00:00;0
45712;INCIDENTE;CABO FRIO;RJ;BRASIL;;17/02/2012;12:00:00;0
45713;INCIDENTE;SÃO PAULO;SP;BRASIL;;17/02/2012;11:30:00;0
45584;INCIDENTE GRAVE;ESTÂNCIA;SE;BRASIL;SNOD;19/02/2012;15:10:00;0
45598;INCIDENTE GRAVE;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;20/02/2012;14:10:00;0
45715;INCIDENTE;MANAUS;AM;BRASIL;SWFN;20/02/2012;09:10:00;0
45571;ACIDENTE;MARITUBA;PA;BRASIL;;22/02/2012;13:40:00;9
45710;INCIDENTE;SÃO JOSÉ DOS PINHAIS;PR;BRASIL;SBCT;22/02/2012;22:45:00;0
45714;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;22/02/2012;19:35:00;0
45681;INCIDENTE;MANAUS;AM;BRASIL;SBEG;23/02/2012;10:25:00;0
45527;ACIDENTE;CORUPÁ;SC;BRASIL;;24/02/2012;11:45:00;0
45569;ACIDENTE;COSTA RICA;MS;BRASIL;;24/02/2012;10:30:00;0
45653;INCIDENTE GRAVE;GUARULHOS;SP;BRASIL;SBGR;24/02/2012;20:04:00;0
45490;ACIDENTE;BELÉM;PA;BRASIL;;25/02/2012;11:47:00;1
45680;INCIDENTE;CONFINS;MG;BRASIL;SBCF;25/02/2012;20:00:00;0
45709;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;;26/02/2012;15:42:00;0
45522;ACIDENTE;SÃO JOSÉ;SC;BRASIL;SSKT;27/02/2012;21:00:00;0
45599;INCIDENTE GRAVE;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;27/02/2012;19:15:00;0
45523;ACIDENTE;ENVIRA;AM;BRASIL;;28/02/2012;21:30:00;0
45573;ACIDENTE;MANAUS;AM;BRASIL;;28/02/2012;10:15:00;2
45570;ACIDENTE;LUIZ ALVES;SC;BRASIL;;29/02/2012;11:15:00;0
45727;INCIDENTE;BARRA DO GARÇAS;MT;BRASIL;SBBW;01/03/2012;12:50:00;0
45526;ACIDENTE;QUERÊNCIA DO NORTE;PR;BRASIL;;02/03/2012;12:50:00;0
45589;ACIDENTE;LINS;SP;BRASIL;SWXQ;02/03/2012;17:35:00;0
45707;INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;02/03/2012;22:12:00;0
45610;INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;;03/03/2012;13:00:00;0
45706;INCIDENTE;RIO BRANCO;AC;BRASIL;SBRB;03/03/2012;17:35:00;0
45711;INCIDENTE;SÃO PAULO;SP;BRASIL;;03/03/2012;11:30:00;0
45596;ACIDENTE;ELISEU MARTINS;PI;BRASIL;;06/03/2012;12:30:00;2
45604;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;06/03/2012;11:31:00;0
45670;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;06/03/2012;23:25:00;0
45594;ACIDENTE;ITUMBIARA;GO;BRASIL;;07/03/2012;10:00:00;0
45601;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;07/03/2012;17:40:00;0
45624;INCIDENTE;VITÓRIA;ES;BRASIL;;07/03/2012;11:45:00;0
45671;INCIDENTE;PALMAS;TO;BRASIL;SBPJ;07/03/2012;10:50:00;0
45728;INCIDENTE;RIO BRANCO;AC;BRASIL;;08/03/2012;22:00:00;0
45677;INCIDENTE;ANÁPOLIS;GO;BRASIL;;09/03/2012;08:30:00;0
45695;INCIDENTE;MACAÉ;RJ;BRASIL;SBME;09/03/2012;11:35:00;0
45698;INCIDENTE;FORTALEZA;CE;BRASIL;;09/03/2012;14:00:00;0
45612;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;10/03/2012;16:35:00;0
45647;INCIDENTE;MACAÉ;RJ;BRASIL;;10/03/2012;11:48:00;0
45694;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;10/03/2012;12:25:00;0
45789;INCIDENTE;ILHÉUS;BA;BRASIL;SBIL;10/03/2012;12:30:00;0
45696;INCIDENTE;CAMPINAS;SP;BRASIL;;11/03/2012;17:30:00;0
45697;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;;11/03/2012;22:42:00;0
45597;ACIDENTE;CAMPO GRANDE;MS;BRASIL;SBCG;12/03/2012;14:38:00;2
45611;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;12/03/2012;01:42:00;0
45618;ACIDENTE;LUIZ ALVES;SC;BRASIL;;12/03/2012;17:00:00;1
45600;INCIDENTE GRAVE;ESPUMOSO;RS;BRASIL;;13/03/2012;20:30:00;0
45609;INCIDENTE;GOIÂNIA;GO;BRASIL;;13/03/2012;12:50:00;0
45786;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;14/03/2012;12:46:00;0
45692;INCIDENTE;FRANCA;SP;BRASIL;;15/03/2012;14:35:00;0
45729;ACIDENTE;MIRANDA;MS;BRASIL;;15/03/2012;10:00:00;0
45625;INCIDENTE;SANTA MARIA;RS;BRASIL;;16/03/2012;12:25:00;0
45654;INCIDENTE GRAVE;SÃO JOSÉ;SC;BRASIL;SSKT;16/03/2012;21:00:00;0
45691;INCIDENTE;FRANCO DA ROCHA;SP;BRASIL;;16/03/2012;18:40:00;0
45864;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;;17/03/2012;17:30:00;0
45685;INCIDENTE;CABO FRIO;RJ;BRASIL;SBBZ;18/03/2012;12:20:00;0
45619;ACIDENTE;SOROCABA;SP;BRASIL;SDCO;19/03/2012;19:18:00;0
45652;ACIDENTE;PORTO ALEGRE;RS;BRASIL;;19/03/2012;14:20:00;0
45686;INCIDENTE;GUARULHOS;SP;BRASIL;;20/03/2012;16:10:00;0
46067;INCIDENTE;MACAÉ;RJ;BRASIL;;21/03/2012;12:50:00;0
45795;INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;22/03/2012;19:45:00;0
45796;INCIDENTE;FORTALEZA;CE;BRASIL;SBFZ;22/03/2012;14:41:00;0
45730;ACIDENTE;MARICÁ;RJ;BRASIL;SDMC;23/03/2012;16:15:00;0
45798;INCIDENTE GRAVE;CHAPECÓ;SC;BRASIL;;23/03/2012;21:17:00;0
45651;INCIDENTE GRAVE;ITU;SP;BRASIL;;24/03/2012;20:45:00;1
45794;ACIDENTE;NAVEGANTES;SC;BRASIL;SBNF;24/03/2012;17:40:00;0
45784;INCIDENTE;BELO HORIZONTE;MG;BRASIL;;26/03/2012;17:45:00;0
45797;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;SBRP;26/03/2012;20:38:00;0
46901;ACIDENTE;MANAUS;AM;BRASIL;SBEG;26/03/2012;20:30:00;2
52057;INCIDENTE;MACEIÓ;AL;BRASIL;SBMO;26/03/2012;13:19:00;0
45792;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;27/03/2012;16:00:00;0
45793;INCIDENTE;GOIÂNIA;GO;BRASIL;;27/03/2012;19:55:00;0
45780;INCIDENTE;CAMPINAS;SP;BRASIL;;28/03/2012;19:30:00;0
45790;INCIDENTE;CURITIBA;PR;BRASIL;SBBI;28/03/2012;21:40:00;0
45791;INCIDENTE;MACAÉ;RJ;BRASIL;SBME;28/03/2012;13:45:00;0
45773;INCIDENTE;SANTA MARIA;RS;BRASIL;;29/03/2012;20:33:00;0
45785;INCIDENTE;COARI;AM;BRASIL;;29/03/2012;15:20:00;3
45754;INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBNV;30/03/2012;14:30:00;0
45774;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;30/03/2012;13:31:00;0
45731;ACIDENTE;PALMAS;TO;BRASIL;;31/03/2012;19:21:00;0
46069;INCIDENTE;GUARULHOS;SP;BRASIL;;01/04/2012;13:30:00;0
45753;INCIDENTE GRAVE;OURO FINO;MG;BRASIL;SNOF;02/04/2012;16:30:00;0
45775;INCIDENTE;SÃO PAULO;SP;BRASIL;;02/04/2012;18:32:00;0
45732;ACIDENTE;SORRISO;MT;BRASIL;;03/04/2012;17:30:00;0
45756;INCIDENTE GRAVE;SÃO FÉLIX DO XINGU;PA;BRASIL;;03/04/2012;14:25:00;1
45755;INCIDENTE GRAVE;CARUARU;PE;BRASIL;SNRU;04/04/2012;10:45:00;0
52058;INCIDENTE;BAURU;SP;BRASIL;SBBU;04/04/2012;20:20:00;0
45733;ACIDENTE;BELO HORIZONTE;MG;BRASIL;;05/04/2012;17:00:00;0
45734;ACIDENTE;TIROS;MG;BRASIL;;06/04/2012;13:37:00;0
45752;INCIDENTE GRAVE;BRAGANÇA PAULISTA;SP;BRASIL;SBBP;11/04/2012;12:00:00;4
45776;INCIDENTE;GOVERNADOR VALADARES;MG;BRASIL;;11/04/2012;09:15:00;0
47082;INCIDENTE GRAVE;SAPEZAL;MT;BRASIL;;11/04/2012;11:30:00;0
45779;INCIDENTE;BRASÍLIA;DF;BRASIL;;12/04/2012;19:00:00;0
45803;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;12/04/2012;10:30:00;0
45746;ACIDENTE;FRANCA;SP;BRASIL;;13/04/2012;20:25:00;0
45747;ACIDENTE;CAMPO GRANDE;MS;BRASIL;SSKG;13/04/2012;20:30:00;0
45750;ACIDENTE;ITIRAPINA;SP;BRASIL;;13/04/2012;15:45:00;0
45751;ACIDENTE;ITANHAÉM;SP;BRASIL;;14/04/2012;15:30:00;2
45749;ACIDENTE;GUARATINGUETÁ;SP;BRASIL;SBGW;15/04/2012;20:45:00;0
45777;INCIDENTE;MANAUS;AM;BRASIL;SBEG;15/04/2012;06:15:00;0
45781;INCIDENTE;UBERLÂNDIA;MG;BRASIL;SBUL;15/04/2012;20:40:00;0
46056;INCIDENTE;GUAÍBA;RS;BRASIL;;15/04/2012;12:05:00;0
45748;ACIDENTE;FORTALEZA;CE;BRASIL;SBFZ;16/04/2012;22:50:00;0
46053;INCIDENTE;MACAÉ;RJ;BRASIL;SBME;18/04/2012;12:59:00;0
45778;INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;19/04/2012;21:45:00;0
45757;ACIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;20/04/2012;20:20:00;2
45759;ACIDENTE;MACAPÁ;AP;BRASIL;;20/04/2012;08:55:00;2
45783;INCIDENTE;CHAVES;PA;BRASIL;;21/04/2012;12:45:00;0
46052;INCIDENTE;COARI;AM;BRASIL;;21/04/2012;13:05:00;0
45834;INCIDENTE;PORTO ALEGRE;RS;BRASIL;SBPA;23/04/2012;21:35:00;0
45835;INCIDENTE GRAVE;BLUMENAU;SC;BRASIL;SSBL;23/04/2012;13:50:00;0
46048;ACIDENTE;GUARULHOS;SP;BRASIL;SBGR;24/04/2012;16:40:00;1
45804;INCIDENTE;GOIÂNIA;GO;BRASIL;;25/04/2012;09:20:00;0
46055;INCIDENTE;BELO HORIZONTE;MG;BRASIL;;25/04/2012;20:24:00;0
46068;INCIDENTE;RECIFE;PE;BRASIL;SBRF;25/04/2012;11:26:00;0
45820;ACIDENTE;GUARUJÁ;SP;BRASIL;;26/04/2012;17:26:00;3
45799;ACIDENTE;SÃO SEBASTIÃO DO PASSÉ;BA;BRASIL;;27/04/2012;12:40:00;1
45801;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;27/04/2012;03:54:00;0
45844;INCIDENTE;CONFINS;MG;BRASIL;SBCF;27/04/2012;01:40:00;0
45842;INCIDENTE;MACAPÁ;AP;BRASIL;SBMQ;28/04/2012;14:23:00;0
46109;INCIDENTE;RECIFE;PE;BRASIL;SBRF;28/04/2012;11:23:00;0
53433;ACIDENTE;MARINGÁ;PR;BRASIL;SSXO;28/04/2012;20:00:00;0
46070;INCIDENTE;TEIXEIRA DE FREITAS;BA;BRASIL;SNTF;29/04/2012;20:20:00;0
45800;INCIDENTE GRAVE;SALVADOR;BA;BRASIL;SBSV;30/04/2012;20:25:00;0
45821;ACIDENTE;LENÇÓIS PAULISTA;SP;BRASIL;;01/05/2012;17:15:00;2
45843;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;01/05/2012;23:30:00;0
45845;INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;02/05/2012;19:50:00;0
45850;INCIDENTE;SERRA;ES;BRASIL;;02/05/2012;19:09:00;0
45831;INCIDENTE GRAVE;MARINGÁ;PR;BRASIL;SBMG;03/05/2012;12:00:00;0
45833;INCIDENTE GRAVE;MARICÁ;RJ;BRASIL;;03/05/2012;11:20:00;0
46111;INCIDENTE;RECIFE;PE;BRASIL;SBRF;03/05/2012;11:28:00;0
45912;INCIDENTE GRAVE;MUCAJAÍ;RR;BRASIL;SWMV;04/05/2012;19:30:00;0
45822;ACIDENTE;PORTO VELHO;RO;BRASIL;;05/05/2012;11:15:00;0
45830;INCIDENTE GRAVE;FORMOSA;GO;BRASIL;SWFR;06/05/2012;19:00:00;0
45841;INCIDENTE;RIO BRANCO;AC;BRASIL;SBRB;07/05/2012;23:42:00;0
46847;ACIDENTE;MARECHAL CÂNDIDO RONDON;PR;BRASIL;SSCR;07/05/2012;20:25:00;2
45819;ACIDENTE;PIRANHAS;GO;BRASIL;;08/05/2012;19:30:00;2
46072;INCIDENTE;UBERABA;MG;BRASIL;SBUR;09/05/2012;10:50:00;0
45829;ACIDENTE;SANTA MARIANA;PR;BRASIL;;10/05/2012;12:00:00;0
45853;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;10/05/2012;14:50:00;0
45849;INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;16/05/2012;11:00:00;0
45856;INCIDENTE GRAVE;PRESIDENTE FIGUEIREDO;AM;BRASIL;;16/05/2012;19:30:00;0
45892;INCIDENTE;CONFINS;MG;BRASIL;SBCF;16/05/2012;17:50:00;0
45894;ACIDENTE;AFUÁ;PA;BRASIL;;16/05/2012;12:10:00;0
45854;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;17/05/2012;19:40:00;0
45895;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;17/05/2012;09:55:00;0
45857;ACIDENTE;SÃO PAULO;SP;BRASIL;SBMT;18/05/2012;10:17:00;1
45862;INCIDENTE;RIBEIRÃO PRETO;SP;BRASIL;;18/05/2012;17:56:00;0
45865;INCIDENTE;ITÁPOLIS;SP;BRASIL;;18/05/2012;19:45:00;0
45867;INCIDENTE GRAVE;SÃO PAULO;SP;BRASIL;;18/05/2012;15:00:00;0
45859;INCIDENTE GRAVE;AMARGOSA;BA;BRASIL;SNAZ;19/05/2012;13:40:00;2
45861;INCIDENTE;PARNAMIRIM;RN;BRASIL;SBNT;19/05/2012;10:40:00;0
45944;INCIDENTE;CAMPINAS;SP;BRASIL;SBKP;19/05/2012;10:28:00;0
45866;ACIDENTE;DRACENA;SP;BRASIL;;20/05/2012;19:35:00;1
45890;ACIDENTE;IMBITUBA;SC;BRASIL;;20/05/2012;17:40:00;0
45903;INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;20/05/2012;21:17:00;0
45889;INCIDENTE;BOTUCATU;SP;BRASIL;SDBK;22/05/2012;13:30:00;0
52059;INCIDENTE;RECIFE;PE;BRASIL;SBRF;22/05/2012;13:07:00;0
45891;INCIDENTE GRAVE;TOLEDO;PR;BRASIL;SBTD;23/05/2012;11:35:00;0
45915;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;23/05/2012;14:30:00;0
46049;INCIDENTE GRAVE;ITAPIRANGA;AM;BRASIL;;23/05/2012;20:20:00;1
45860;INCIDENTE;RIO BRANCO;AC;BRASIL;SBRB;24/05/2012;03:10:00;0
45887;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;24/05/2012;19:23:00;0
45913;ACIDENTE;ALCÂNTARA;MA;BRASIL;;25/05/2012;20:45:00;0
45916;INCIDENTE;RECIFE;PE;BRASIL;SBRF;25/05/2012;18:00:00;0
45941;INCIDENTE GRAVE;SALTO DE PIRAPORA;SP;BRASIL;SDBN;25/05/2012;20:15:00;0
46701;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;25/05/2012;15:40:00;0
52240;INCIDENTE GRAVE;CASCAVEL;PR;BRASIL;SBCA;25/05/2012;20:45:00;0
45927;ACIDENTE;TATUÍ;SP;BRASIL;SDTF;26/05/2012;12:30:00;0
45929;ACIDENTE;BELO HORIZONTE;MG;BRASIL;SBPR;26/05/2012;11:00:00;0
45950;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;26/05/2012;19:30:00;0
45928;ACIDENTE;DELTA;MG;BRASIL;;27/05/2012;14:00:00;0
45902;ACIDENTE;PONTA GROSSA;PR;BRASIL;SBPG;28/05/2012;20:25:00;0
45939;ACIDENTE;UMUARAMA;PR;BRASIL;;30/05/2012;19:00:00;0
45904;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;31/05/2012;00:03:00;0
45898;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;01/06/2012;16:54:00;0
45901;ACIDENTE;BELÉM;PA;BRASIL;SBJC;01/06/2012;15:08:00;0
45900;ACIDENTE;SÃO PAULO;SP;BRASIL;SBMT;02/06/2012;12:29:00;1
45897;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;03/06/2012;20:28:00;0
45899;ACIDENTE;RIO CLARO;SP;BRASIL;SDRK;03/06/2012;19:40:00;0
45918;INCIDENTE;ILHÉUS;BA;BRASIL;SBIL;05/06/2012;18:34:00;0
45933;ACIDENTE;BARÃO DE MELGAÇO;MT;BRASIL;;05/06/2012;20:30:00;0
45914;ACIDENTE;MACAÉ;RJ;BRASIL;SBME;06/06/2012;21:35:00;0
45932;INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBGO;06/06/2012;14:05:00;1
45943;INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;07/06/2012;12:00:00;0
45980;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;07/06/2012;18:24:00;0
46117;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;08/06/2012;20:55:00;0
45917;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;11/06/2012;19:30:00;0
45946;INCIDENTE;CABO FRIO;RJ;BRASIL;SBCB;11/06/2012;14:50:00;0
45931;INCIDENTE GRAVE;BELO HORIZONTE;MG;BRASIL;SBPR;12/06/2012;18:40:00;0
45936;ACIDENTE;SINOP;MT;BRASIL;;13/06/2012;11:50:00;0
45945;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;13/06/2012;21:00:00;0
45981;INCIDENTE;VÁRZEA GRANDE;MT;BRASIL;SBCY;13/06/2012;10:51:00;0
45989;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;13/06/2012;23:00:00;0
45934;ACIDENTE;PAÇO DO LUMIAR;MA;BRASIL;SJHR;14/06/2012;19:40:00;2
45982;INCIDENTE;BELÉM;PA;BRASIL;SBBE;15/06/2012;00:06:00;0
45964;INCIDENTE;SÃO PAULO;SP;BRASIL;SBSP;16/06/2012;13:15:00;0
46180;ACIDENTE;AURIFLAMA;SP;BRASIL;;16/06/2012;19:30:00;0
46032;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;17/06/2012;13:36:00;0
45983;INCIDENTE;BELO HORIZONTE;MG;BRASIL;;18/06/2012;09:16:00;0
45942;INCIDENTE;ARARAS;SP;BRASIL;SDAA;19/06/2012;13:40:00;0
45972;INCIDENTE;CURITIBA;PR;BRASIL;SBBI;19/06/2012;15:00:00;0
46116;INCIDENTE;VARGINHA;MG;BRASIL;;19/06/2012;19:54:00;0
45935;INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;20/06/2012;09:10:00;0
45938;ACIDENTE;ALTO HORIZONTE;GO;BRASIL;;20/06/2012;16:15:00;0
45947;INCIDENTE;VITÓRIA;ES;BRASIL;;20/06/2012;14:30:00;0
45951;INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;21/06/2012;15:00:00;0
45952;INCIDENTE;COARI;AM;BRASIL;;21/06/2012;12:15:00;0
45985;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;21/06/2012;13:55:00;0
45937;ACIDENTE;CANARANA;MT;BRASIL;SWEK;22/06/2012;14:00:00;0
45959;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;22/06/2012;14:32:00;0
