codigo_ocorrencia;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
48895;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;29/06/2013;19:00:00;0
49258;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;01/07/2013;23:49:00;0
49274;INCIDENTE;LONDRINA;PR;BRASIL;SBLO;02/07/2013;23:00:00;0
49262;INCIDENTE;TEFÉ;AM;BRASIL;SBTF;03/07/2013;11:46:00;0
49263;INCIDENTE;MANICORÉ;AM;BRASIL;SBMY;03/07/2013;14:51:00;0
49264;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;03/07/2013;18:34:00;0
49271;INCIDENTE;MARABÁ;PA;BRASIL;SBMA;03/07/2013;11:15:00;0
49272;INCIDENTE;PORTO ALEGRE;RS;BRASIL;;03/07/2013;08:30:00;0
49053;ACIDENTE;CORUMBÁ DE GOIÁS;GO;BRASIL;;04/07/2013;14:30:00;0
49124;ACIDENTE;BAURU;SP;BRASIL;SBBU;04/07/2013;12:40:00;0
49255;INCIDENTE;MACAÉ;RJ;BRASIL;;04/07/2013;12:57:00;0
49123;ACIDENTE;CURITIBA;PR;BRASIL;;05/07/2013;15:10:00;0
49155;ACIDENTE;UBATUBA;SP;BRASIL;SDUB;05/07/2013;20:15:00;0
49252;INCIDENTE;JUNDIAÍ;SP;BRASIL;SBJD;05/07/2013;18:40:00;0
49117;INCIDENTE GRAVE;GOIÂNIA;GO;BRASIL;SBNV;06/07/2013;15:25:00;0
49121;ACIDENTE;FORMOSA;GO;BRASIL;SWFR;06/07/2013;16:35:00;0
49254;INCIDENTE;PIRASSUNUNGA;SP;BRASIL;SDPY;06/07/2013;19:00:00;0
49125;ACIDENTE;ICÉM;SP;BRASIL;;07/07/2013;15:30:00;1
49267;INCIDENTE;CAMPOS DOS GOYTACAZES;RJ;BRASIL;;07/07/2013;18:50:00;0
49122;ACIDENTE;ELDORADO DO SUL;RS;BRASIL;SIXE;09/07/2013;14:32:00;0
49269;INCIDENTE;PORTO VELHO;RO;BRASIL;;10/07/2013;20:33:00;0
49289;INCIDENTE;SÃO PAULO;SP;BRASIL;SBMT;11/07/2013;17:15:00;0
49288;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;13/07/2013;17:58:00;0
49292;INCIDENTE;MANAUS;AM;BRASIL;SBEG;13/07/2013;20:00:00;0
52958;ACIDENTE;PAULÍNIA;SP;BRASIL;;13/07/2013;17:36:00;0
49286;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;;14/07/2013;20:08:00;0
49116;ACIDENTE;MANAUS;AM;BRASIL;SBEG;16/07/2013;10:22:00;1
49279;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;16/07/2013;15:19:00;0
49280;INCIDENTE;CONFINS;MG;BRASIL;SBCF;17/07/2013;14:10:00;0
49281;INCIDENTE;CONFINS;MG;BRASIL;SBCF;17/07/2013;22:59:00;0
49536;INCIDENTE;ELDORADO DO SUL;RS;BRASIL;SIXE;17/07/2013;19:09:00;0
49533;INCIDENTE;CANELA;RS;BRASIL;SSCN;18/07/2013;13:35:00;0
49119;ACIDENTE;TANGARÁ DA SERRA;MT;BRASIL;SWTS;19/07/2013;20:30:00;1
49120;ACIDENTE;BONITO;MS;BRASIL;;19/07/2013;15:30:00;0
49294;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;19/07/2013;07:25:00;0
49537;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;20/07/2013;15:40:00;0
49693;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBRJ;20/07/2013;18:40:00;0
49282;INCIDENTE;FONTE BOA;AM;BRASIL;SWOB;21/07/2013;19:05:00;0
49532;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBJR;21/07/2013;19:26:00;0
49694;INCIDENTE;BELO HORIZONTE;MG;BRASIL;SBBH;21/07/2013;18:28:00;0
